4.77 	4.81 	
4.95 	3.05 	
5.11 	2.95 	
4.93 	2.92 	
4.91 	2.88 	
4.88 	2.93 	
4.61 	2.35 	
4.86 	3.05 	
3.94 	3.31 	
3.06 	2.61 	
3.90 	2.94 	
3.11 	2.43 	
3.27 	2.66 	
3.43 	2.82 	
3.71 	3.03 	
3.66 	2.80 	
5.07 	3.01 	
3.37 	2.58 	
3.84 	1.55 	
1.55 	2.16 	
2.13 	2.70 	
1.91 	3.34 	
1.56 	2.01 	
1.84 	2.40 	
1.91 	2.42 	
1.97 	3.18 	
1.97 	2.33 	
1.91 	2.10 	
1.66 	1.96 	
1.66 	2.97 	
1.73 	2.90 	
1.64 	3.79 	
1.50 	3.45 	
1.59 	3.36 	
1.64 	3.88 	
1.52 	4.91 	
1.43 	3.65 	
1.55 	3.33 	
1.30 	3.62 	
1.48 	3.42 	
1.73 	4.25 	
1.73 	3.78 	
1.76 	3.56 	
2.19 	3.82 	
1.92 	3.66 	
1.82 	3.74 	
1.77 	3.84 	
1.68 	4.20 	
1.72 	3.83 	
1.62 	3.92 	
1.99 	4.06 	
1.94 	3.53 	
1.77 	3.44 	
1.97 	3.49 	
1.62 	3.75 	
2.15 	4.48 	
2.33 	4.33 	
2.27 	3.88 	
2.38 	3.66 	
2.42 	4.25 	
1.55 	4.44 	
2.30 	4.83 	
3.11 	4.90 	
2.53 	4.33 	
2.64 	4.59 	
1.89 	4.42 	
1.72 	4.07 	
2.33 	4.07 	
1.49 	4.70 	
2.21 	3.56 	
2.09 	4.11 	
2.84 	3.45 	
2.47 	3.82 	
2.18 	3.60 	
2.15 	4.09 	
2.57 	3.53 	
3.96 	3.97 	
3.99 	4.52 	
3.20 	4.21 	
3.70 	3.18 	
4.22 	3.56 	
3.80 	3.23 	
4.00 	6.00 	
3.82 	5.19 	
3.84 	5.42 	
3.73 	5.67 	
3.52 	4.37 	
3.94 	4.28 	
3.82 	4.16 	
3.99 	2.88 	
3.96 	3.27 	
3.70 	3.79 	
3.98 	3.52 	
