4.50 	6.40 	
5.13 	8.14 	
5.12 	7.35 	
5.23 	7.05 	
5.02 	6.49 	
4.87 	7.21 	
5.10 	7.87 	
5.10 	7.96 	
5.32 	6.93 	
4.86 	7.27 	
5.05 	7.40 	
4.65 	6.07 	
4.65 	5.26 	
4.15 	5.83 	
4.56 	4.43 	
4.46 	5.37 	
4.47 	6.03 	
4.80 	4.54 	
4.03 	6.59 	
4.96 	6.19 	
4.70 	5.76 	
4.34 	5.32 	
4.61 	4.97 	
4.07 	5.66 	
4.83 	6.42 	
4.14 	6.57 	
4.80 	5.41 	
4.77 	5.84 	
4.98 	7.58 	
5.07 	7.90 	
4.92 	8.27 	
5.07 	7.15 	
4.89 	7.28 	
4.49 	7.91 	
4.62 	7.07 	
5.22 	7.11 	
5.50 	7.45 	
5.45 	6.73 	
5.09 	6.78 	
4.25 	7.52 	
5.05 	6.78 	
4.37 	6.22 	
4.06 	6.86 	
3.70 	7.11 	
4.28 	7.04 	
4.03 	7.13 	
4.35 	7.03 	
4.03 	7.09 	
4.42 	6.99 	
4.07 	6.88 	
3.90 	7.26 	
4.25 	6.98 	
4.44 	7.41 	
3.73 	7.56 	
4.14 	7.41 	
3.84 	7.28 	
4.25 	7.35 	
4.06 	8.03 	
4.50 	7.48 	
4.62 	7.45 	
4.50 	7.20 	
4.34 	7.00 	
4.14 	7.57 	
3.96 	6.55 	
4.64 	7.88 	
4.18 	7.72 	
4.17 	7.55 	
4.03 	7.54 	
4.28 	8.13 	
4.62 	7.59 	
4.08 	8.34 	
4.07 	7.67 	
4.41 	8.51 	
4.57 	8.35 	
4.17 	8.55 	
4.23 	7.56 	
4.11 	8.15 	
4.68 	7.93 	
4.43 	8.69 	
4.38 	8.59 	
4.21 	8.55 	
4.40 	8.55 	
4.31 	7.62 	
4.23 	6.82 	
4.63 	7.98 	
4.62 	7.56 	
3.94 	8.36 	
4.13 	8.05 	
4.37 	7.46 	
4.23 	8.32 	
4.06 	8.38 	
4.60 	7.76 	
4.44 	8.97 	
4.63 	7.60 	
4.65 	7.97 	
4.51 	8.03 	
4.66 	6.98 	
4.38 	7.43 	
4.69 	7.32 	
5.44 	7.89 	
4.38 	7.79 	
4.19 	7.66 	
4.43 	8.00 	
4.18 	7.61 	
4.63 	8.00 	
4.42 	7.76 	
4.82 	8.54 	
4.69 	7.55 	
4.26 	7.14 	
4.58 	7.47 	
4.49 	8.06 	
4.63 	7.27 	
4.50 	7.21 	
3.86 	7.57 	
4.33 	7.90 	
4.26 	7.36 	
4.23 	6.55 	
4.67 	6.22 	
4.27 	7.13 	
4.65 	6.07 	
5.11 	6.17 	
4.44 	6.39 	
4.67 	6.96 	
5.13 	7.19 	
5.06 	7.14 	
4.51 	6.93 	
4.26 	7.29 	
3.99 	7.43 	
